variant	canonical	count_2026_09_24	status	note
gawah	gawaah	18	decided	owner batch-01 2026-09-25
karsaz	kaarsaaz	18	decided	owner batch-01 2026-09-25
kahan	kahaan	17	decided	owner batch-01 2026-09-25
aagah	aagaah	17	decided	owner batch-01 2026-09-25
waqai	waaqai	17	decided	owner batch-01 2026-09-25
tareef	taareef	16	decided	owner batch-01 2026-09-25
kitab	kitaab	16	decided	owner batch-01 2026-09-25
panah	panaah	16	decided	owner batch-01 2026-09-25
ghalib	ghalib	16	keep	owner 2026-09-25: ziyaada and ghalib are the house spellings
lao	laao	15	decided	owner batch-01 2026-09-25
nishaniyan	nishaaniyaan	15	decided	owner batch-01 2026-09-25
khayal	khayaal	15	decided	owner batch-01 2026-09-25
jayen	jaayen	14	decided	owner batch-01 2026-09-25
gunah	gunaah	14	decided	owner batch-01 2026-09-25
jinnat	jinnaat	14	decided	owner batch-01 2026-09-25
najat	najaat	13	decided	owner batch-01 2026-09-25
khwah	khwaah	13	decided	owner batch-01 2026-09-25
kuffar	kuffaar	13	decided	owner batch-01 2026-09-25
sarasar	saraasar	13	decided	owner batch-01 2026-09-25
dobara	dobaara	13	decided	owner batch-01 2026-09-25
dunyawi	dunyaawi	13	decided	owner batch-01 2026-09-25
wapas	waapas	13	decided	owner batch-01 2026-09-25
kharabi	kharaabi	13	decided	owner batch-01 2026-09-25
nihayat	nihaayat	12	decided	owner batch-01 2026-09-25
tamam	tamaam	12	decided	owner batch-01 2026-09-25
namazon	namaazon	12	decided	owner batch-01 2026-09-25
nikah	nikaah	12	decided	owner batch-01 2026-09-25
waaliyan	waaliyaan	12	decided	owner batch-01 2026-09-25
mukhalifat	mukhaalifat	12	decided	owner batch-01 2026-09-25
khwahishon	khwaahishon	11	decided	owner batch-01 2026-09-25
marne	marne	11	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
hasil	haasil	11	decided	owner batch-01 2026-09-25
munafiq	munaafiq	11	decided	owner batch-01 2026-09-25
waqia	waaqia	11	decided	owner batch-01 2026-09-25
tayyar	tayyaar	11	decided	owner batch-01 2026-09-25
itaa'at	itaat	10	decided	owner batch-01 2026-09-25 (owner: ita'at, R5 drops the apostrophe)
jayenge	jaayenge	10	decided	owner batch-01 2026-09-25
gumrah	gumraah	10	decided	owner batch-01 2026-09-25
halanke	haalaanke	10	decided	owner batch-01 2026-09-25
darwaze	darwaaze	10	decided	owner batch-01 2026-09-25
roziyan	roziyaan	10	decided	owner batch-01 2026-09-25
ijazat	ijaazat	10	decided	owner batch-01 2026-09-25
dalail	dalaail	10	decided	owner batch-01 2026-09-25
paon	paaon	10	decided	owner batch-01 2026-09-25
nikalne	nikalne	10	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
laye	laaye	9	decided	owner batch-01 2026-09-25
jaye	jaaye	9	decided	owner batch-01 2026-09-25
biwiyan	biwiyaan	9	decided	owner batch-01 2026-09-25
aazmaish	aazmaaish	9	decided	owner batch-01 2026-09-25
pa	pa	9	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
ghulam	ghulaam	9	decided	owner batch-01 2026-09-25
farmata	farmaata	9	decided	owner batch-01 2026-09-25
banao	banaao	9	decided	owner batch-01 2026-09-25
gunahon	gunaahon	9	decided	owner batch-01 2026-09-25
rogardaani	rugardaani	9	decided	owner batch-01 2026-09-25 (owner: rugardaani)
nikalte	nikalte	9	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
basharat	bashaarat	9	decided	owner batch-01 2026-09-25
intezar	intezaar	9	decided	owner batch-01 2026-09-25
na-shukra	naa-shukra	9	decided	owner batch-01 2026-09-25
walid	waalid	9	decided	owner batch-01 2026-09-25
barabar	baraabar	8	decided	owner batch-01 2026-09-25
ikhtiyar	ikhtiyaar	8	decided	owner batch-01 2026-09-25
khao	khaao	8	decided	owner batch-01 2026-09-25
jayega	jaayega	8	decided	owner batch-01 2026-09-25
bech	bech	8	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
nafarmaani	naafarmaani	8	decided	owner batch-01 2026-09-25
ahl-e-kitab	ahl-e-kitaab	8	decided	owner batch-01 2026-09-25
zameen-o-aasman	zameen-o-aasmaan	8	decided	owner batch-01 2026-09-25
nishaniyon	nishaaniyon	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pukar	pukaar	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
awaaz	aawaaz	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
gawahi	gawaahi	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jhutlaya	jhutlaaya	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
thikana	thikaana	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jaoge	jaaoge	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
bhari	bhari	8	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
aasan	aasaan	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
shayad	shaayad	8	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
bari	bari	8	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
shafaa'at	shafaat	7	decided	owner Q24 2026-09-25: ADR 0005 R5 lists shafaat
qaim	qaaim	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jate	jaate	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khushkhabriyan	khushkhabriyaan	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nuqsan	nuqsaan	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pakeeza	paakeeza	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
daryaft	daryaaft	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
aawaz	aawaaz	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
marte	marte	7	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
bhed	bhed	7	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
khayanat	khayaanat	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kamyabi	kaamyaabi	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ahd-o-paiman	ahd-o-paimaan	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
waste	waaste	7	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nikalta	nikalta	7	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
falah	falaah	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
baz	baaz	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jata	jaata	6	needs-review	R1 auto: doubled form of a mixed cluster
batao	bataao	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jana	jaana	6	needs-review	R1 auto: doubled form of a mixed cluster
tabedaari	taabedaari	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nazil	naazil	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ikhtilaf	ikhtilaaf	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sikhaya	sikhaaya	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
razamandi	razaamandi	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
chahen	chaahen	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nigah	nigaah	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
bhalai	bhalaai	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
istighfar	istighfaar	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
munafiqon	munaafiqon	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
muqable	muqaable	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tareefen	tareefein	6	decided	owner 2026-09-26: plural nouns take -ein (R2 as written)
buraaiyan	buraaiyaan	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ladkiyan	ladkiyaan	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
himayati	himaayati	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kushada	kushaada	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jam	jam	6	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
aftab	aaftaab	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nigahon	nigaahon	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
rahoon	rahoon	6	keep	owner Q7 2026-09-25: bad target - suggested merge was wrong
chalen	chalen	6	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
chakhayenge	chakhaayenge	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mehrbani	mehrbaani	6	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jante	jaante	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
faida	faaida	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pak	paak	5	needs-review	R1 auto: doubled form of a mixed cluster
zahir	zaahir	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
zakat	zakaat	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ziyadati	ziyaadati	5	decided	owner 2026-09-25: ziyaada and ghalib are the house spellings
nafarmani	naafarmaani	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
aayat	aayat	5	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
masjid-e-haram	masjid-e-haraam	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ghulamon	ghulaamon	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jati	jaati	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
waliyon	waaliyon	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
baadshahat	baadshaahat	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pukaro	pukaaro	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
buraiyon	buraaiyon	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kinare	kinaare	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
paband	paaband	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sitaron	sitaaron	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nigahen	nigahein	5	decided	owner 2026-09-26: plural nouns take -ein (R2 as written)
ontni	oontni	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sazawaar	sazaawaar	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tane	tane	5	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tareefon	tareefon	5	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
deewana	deewaana	5	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
layenge	laayenge	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
janta	jaanta	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
banane	banaane	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
samne	saamne	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
baten	batein	4	decided	owner 2026-09-26: plural nouns take -ein (R2 as written)
israel	israeel	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kitabon	kitaabon	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sifarish	sifaarish	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
bare	baare	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
haram	haraam	4	needs-review	R1 auto: doubled form of a mixed cluster
lanat	lanat	4	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
shayateen	shayaateen	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pahunchaye	pahunchaaye	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kushadgi	kushaadgi	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
marna	marna	4	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
hawaon	hawaaon	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pabandi	paabandi	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sabit	saabit	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
waqe	waaqe	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
qurbani	qurbaani	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mutabiq	mutaabiq	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
gadhe	gadhe	4	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mara	mara	4	keep	owner Q7 2026-09-25: verb pair - suggested merge was wrong
mamla	maamla	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
insaf	insaaf	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khata	khata	4	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
lad	lad	4	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
baadshahi	baadshaahi	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
imdad	imdaad	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sabit-qadam	saabit-qadam	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
beemar	beemaar	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ittila	ittilaa	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tal	tal	4	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
khasare	khasaare	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
batlao	batlaao	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mayoos	maayoos	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sifarishi	sifaarishi	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
barsaya	barsaaya	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
insanon	insaanon	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ittiba	ittibaa	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
farmai	farmaai	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khazanon	khazaanon	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pyare	pyaare	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
saleh	saaleh	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
raah-yafta	raah-yaafta	4	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
dardnak	dardnaak	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
gumrahi	gumraahi	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pahunchaya	pahunchaaya	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
misal	misl	3	decided	owner Q24 2026-09-25: all uses are مثل (Q19)
janib	jaanib	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
lautaye	lautaaye	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pakeezgi	paakeezgi	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
chaho	chaaho	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kafir	kaafir	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
bhalaiyon	bhalaaiyon	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
chahat	chaahat	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
pata	pata	3	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
chaha	chaaha	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ghafil	ghaafil	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
hazar	hazar	3	keep	closed 2026-09-26: variant no longer in the text
shaitanon	shaitaanon	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
ayaat	ayaat	3	keep	closed 2026-09-26: variant no longer in the text
madadgar	madadgaar	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
payen	paayen	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
zaya	zaaya	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
halal	halaal	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
darwazon	darwaazon	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
dakhil	daakhil	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khetiyan	khetiyaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
hifazat	hifaazat	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tadaad	taadaad	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
badshah	baadshaah	3	decided	owner FINAL-REVIEW A3 2026-09-26
chunanche	chunaanche	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kafi	kaafi	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
roogardani	rugardaani	3	decided	owner batch-01 2026-09-25 (same word)
sare	saare	3	needs-review	R1 auto: doubled form of a mixed cluster
qarar	qaraar	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
nafarmaan	naafarmaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
burai	buraai	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
kat	kat	3	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
ad	ad	3	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jhutlane	jhutlaane	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mukhalif	mukhaalif	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
aawazen	aawazein	3	decided	owner 2026-09-26: plural nouns take -ein (R2 as written)
aasmanon-o-zameen	aasmaanon-o-zameen	3	decided	owner batch-01 2026-09-25: accepted words inside a compound only
jaoonga	jaaoonga	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mehmani	mehmaani	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
waliyan	waaliyaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
miyan	miyaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
dawa	dawa	3	keep	owner FINAL-REVIEW A3 2026-09-26: dawa kept
bahar	baahar	3	needs-review	R1 auto: doubled form of a mixed cluster
itminan	itminaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
akarat	akaarat	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
dozakhi	dozakhi	3	keep	owner Q7 2026-09-25: bad target - suggested merge was wrong
ihsan	ihsaan	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
halak	halaak	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
banaye	banaaye	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
dikhaye	dikhaaye	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jhutlate	jhutlaate	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
intiqam	intiqaam	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khalaiq	khalaaiq	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
mutalliq	mutalliq	3	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
asar	asar	3	keep	owner Q7 2026-09-25: different word - suggested merge was wrong
zamana	zamaana	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
shukr-guzar	shukr-guzaar	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
sunaiye	sunaaiye	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
khamosh	khaamosh	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
jaya	jaaya	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
tari	tari	3	keep	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
giraftar	giraftaar	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
imarat	imaarat	3	decided	owner go 2026-09-26: R1 checked against the Urdu letters (AI), spot-checked
