surah	ayah	class	urdu_span	roman_span	suggestion	confidence	note
11	120	omission	مومنوں	momino	mominon	high	orchestrator plural check; not vocative
16	55	source-typo	جائے گ	jaayega	jaayega	high	Source has "جائے گ" (missing alef, truncated "گا" -> "گ"), a typo for "جائے گا". Roman already reads it correctly as "jaayega" -- no Roman change needed. Same class as the recorded source errata (plan §1.2 C); worth adding to data/roman-urdu/source-errata.tsv.
17	23	source-typo	. s	(none, sentence ends at "karna.")	(no change)	high	Source text has a stray trailing artifact ". s" after "بات چیت کرنا" (hex confirms literal ". s" in the DB row, not a rendering glitch). Roman already silently omits it and ends cleanly at "baat cheet karna." -- no Roman change needed; same class as recorded source errata (plan §1.2 C).
18	16	source-typo	کردے گ.ا	karde ga.	karde ga.	high	Source text has a misplaced period splitting the word "گا" into "گ.ا" (should read "کردے گا۔"). Roman already reads it correctly as "karde ga.", so no change needed, just recording the source defect per Phase 4 class C.
19	5	source-typo	عطا فرم	ata farma	ata farma	high	Source has "عطا فرم" (missing alef, truncated "فرما" -> "فرم"), a typo for "عطا فرما". Roman already reads it correctly as "ata farma" -- no Roman change needed. Same class as recorded source errata (plan §1.2 C).
22	51	typo	دوزخی	dozakhhi	dozakhi	high	Roman doubles the h in "dozakhhi"; Urdu دوزخی (dozakh + nisbat yeh) is one word with a single do-chashmi he, "dozakhi". Stray extra letter, not a house-style doubling (R1 doubles vowels, not consonants).
26	68	source-typo	ہے؟	hai.	hai.	medium	Urdu ends this declarative refrain with a question mark ("...مہربان ہے؟"), but the same refrain at 26:9 ("...غالب اور مہربان ہے.") ends with a period and the sentence is not phrased as a question ("aur beshak" = "and indeed"). Looks like a stray "؟" in the source db. Roman already reads it correctly as a statement -- no Roman change needed, flagging for source-errata record.
27	18	source-typo	چینوٹیوں	cheentiyon	cheentiyon	high	Source spells the first occurrence "چینوٹیوں" (letters transposed: ye-nun-wow) instead of the correct "چیونٹیوں" (ye-wow-nun) used later in the very same verse ("ایک چیونٹی"). A db typo. Roman already reads it correctly as "cheentiyon" both times -- no Roman change needed, flagging for source-errata record.
32	8	wrong-word	بے وقعت	be-waqar	be-waqat	medium	Urdu وقعت (waqa'at/waqat = value, worth, esteem) gives "be-waqat" = "of no value/insignificant" (describing the lowly fluid). Roman substitutes "waqar" (dignity/gravitas), a different Urdu word (وقار) with a different, though similar-sounding, meaning ("without dignity" vs "of no worth"). Likely a transliteration mix-up between two similar-sounding but distinct words.
33	50	source-typo	جنہوں تو ان کا مہر	jinhein tu un ka mahr	jinhein tu un ka mahr	medium	Source reads جنہوں (jinhon) before "تو" (tu), which is grammatically defective in context ("jinhon tu" doesn't parse) -- almost certainly a typo for جنہیں (jinhein, "to whom"). Roman already silently reads it correctly as "jinhein tu"; no Roman change needed, but worth recording in source-errata.tsv like the 83:18 and 2:282 cases.
36	2	wrong-word	باحکمت	Hakeem	ba-hikmat	medium	Urdu says "باحکمت" (full of/possessing wisdom); Roman substitutes "Hakeem" (wise), a different word that echoes the Arabic ayah rather than transliterating Junagarhi's actual Urdu word choice. Same general sense, different word.
36	37	wrong-word	کھینچ	kheen ch	kheench	high	Stray space splits the single word "kheench" (draw/pull) into two non-words "kheen ch". Almost certainly a typing slip, not a translation choice.
39	24	typo	چکھو	chakhho	chakho	high	Stray extra "h": "chakhho" instead of the corpus's standard "chakho" (taste, imperative) used elsewhere for the same Urdu word چکھو (e.g. 32:14, twice, "maza chakho"). Simple doubling typo, not a different word.
40	6	typo	دوزخی	dozakhii	dozakhi	high	Stray doubled vowel: "dozakhii" instead of the standard "dozakhi" (of/belonging to hell) used elsewhere in the corpus for دوزخی. Not a different word, just an extra "i".
45	17	vowel	صاف صاف دلیلیں دیں	saaf saaf daleelein din	saaf saaf daleelein deen	high	Urdu دیں here is the past-tense verb "gave" (feminine plural object daleelein), pronounced deen -- "We gave them the religion's clear proofs." Roman "din" reads as a different word, "day" (din), not the verb. Same verse elsewhere correctly uses deen-forms (deen ki), so this is an isolated vowel slip, not a style choice.
46	9	vowel	علیالاعلان	alal-aalaan	alal-ailaan	medium	اعلان (announcement/openly) is spelled "ailaan" elsewhere in the corpus (9:1 "bezaari ka ailaan"). Here the same root is romanised "aalaan", a different-sounding, non-standard form. Likely a vowel slip rather than a deliberate spelling choice, though this exact phrase علی الاعلان has no other occurrence to confirm against.
47	4	typo	مڈبھیڑ	muthbher	mudbher	medium	مڈبھیڑ (encounter/clash) has a retroflex ڈ (d-sound), giving "mudbher". Roman "muthbher" swaps in a "th" sound (as in ٹھ), which is a different consonant and reads as a garbled/unfamiliar word. No other occurrence of this word in the corpus to cross-check against.
48	6	wrong-word	انہیں پر برائی کا پھیرا ہے	unhi par buraai ka phera hai	unhein par buraai ka phera hai	low	Urdu انہیں (unhein, plain "them") is rendered as the emphatic "unhi" ("these very ones"), the same substitution class flagged at 2:96. Overall sense is barely changed, so this may be a deliberate emphatic reading; flagging for owner read since it is a different word.
48	25	source-typo	خبر نہ تھ یعنی	khabar na thi yaani	khabar na thi yaani	high	Source has تھ (missing ی), a typo for تھی "was". Roman already silently reads it correctly as "thi" -- no Roman change needed, but this is the same class of silent correction as the recorded 83:18 errata (plan §1.2 C) and 2:282, and should be added to data/roman-urdu/source-errata.tsv so a future reviewer comparing against the Urdu doesn't stumble on it.
49	15	omission	اپنے مالوں سے اور اپنی جانوں سے	apne maal se aur apni jaanon se	apne maalon se aur apni jaanon se	low	Urdu مالوں is plural ("wealths/possessions"), matching the parallel plural جانوں ("lives") right after it. Roman singularises the first to "maal" but keeps the second plural ("jaanon"), an inconsistency within the same parallel phrase. Meaning is barely affected either way.
51	42	source-typo	بوسیده ہدی	boseeda haddee	boseeda haddee	high	Source has ہدی (missing ڈ), a typo for ہڈی "bone". Roman already silently reads it correctly as "haddee" -- no Roman change needed, but this is the same class of silent correction as the recorded 83:18 errata (plan §1.2 C) and should be added to data/roman-urdu/source-errata.tsv so a future reviewer comparing against the Urdu doesn't stumble on it.
55	52	source-typo	ہوگی	hongi	hongi	low	Source verb "ہوگی" (singular) doesn't agree with the plural subject "دو قسمیں" (should be "ہوں گی"); Roman already reads it correctly as plural "hongi", so no change needed, just recording the source defect per Phase 4 class C.
68	35	izafat-invented	مثل گناه گاروں کے	misl-e-gunaahgaaron ke	misl gunaahgaaron ke	medium	Urdu uses the "misl X ke" construction (compare 70:8's "misl tel ki talchhat ke", already corrected) where "ke" itself supplies the linkage; inserting "-e-" before "gunaahgaaron" as well is a redundant, invented izafat on top of the postposition already doing that job.
69	24	typo	گزشتہ	guzashtha	guzashta	medium	Stray "h" inserted before the final vowel turns the plain dental "t" into an aspirated "th" that doesn't belong in this word; "guzashta" (past/bygone) is the intended reading.
70	9	izafat-invented	مثل رنگین اون کے	misl-e-rangeen oon ke	misl rangeen oon ke	high	Same "misl X ke" construction as 70:8 in this same surah (already corrected there to "misl tel ki talchhat ke", no izafat). Here the -e- is still inserted before "rangeen", an invented izafat inconsistent with the sibling verse one ayah earlier.
72	2	source-typo	راه راست کے طرف	raah-e-raast ki taraf	raah-e-raast ki taraf	high	Source has "راه راست کے طرف" -- "راه" (raah) is feminine and grammatically needs "کی", not "کے". Roman already silently reads it correctly as "ki taraf" -- no Roman change needed, same class as the recorded 83:18 / 2:282 source errata.
72	26	vowel	مطلع	muttale	muttali	medium	Participle "informed" (مطلع نہیں کرتا, "does not inform anyone") is pronounced muttali (ends -li), not muttale. As spelled it reads like a different/unclear form rather than the intended word.
77	27	vowel	سیراب	serab	seeraab	medium	Written "serab" this collides with the unrelated real word "saraab" (mirage) -- the opposite sense from "seeraab" (quenched/irrigated) that the verse intends ("gave you sweet water to drink").
77	32	izafat-invented	مثل محل کے	misl-e-mahal ke	misl mahal ke	medium	Same "misl X ke" construction as 70:8/70:9 in the assigned batch (compare 70:8, already corrected to drop the izafat). "ke" already supplies the linkage, so "-e-" before "mahal" is a redundant, invented izafat.
80	30	typo	گنجان	ghanjaan	ganjaan	medium	Urdu spells this with گ (gaaf, plain "g"), not غ (ghain). "ghanjaan" implies a sound the source word doesn't have; "ganjaan" (dense/thick) is the correct reading.
86	2	wrong-word	نمودار	numaayaan	numoodar	medium	Urdu نمودار (appearing/emerging, describing the night-star) is rendered with "numaayaan," which transliterates the distinct word نمایاں (conspicuous/prominent) rather than نمودار. Close in sense but a different Urdu word than Junagarhi wrote.
86	10	source-typo	مدددگار	madadgaar	madadgaar	high	Source has مدددگار with an extra د (three د's), a typo for مددگار "helper." Roman already silently reads it correctly as "madadgaar" -- no Roman change needed, but per plan §1.2 C this should be logged in data/roman-urdu/source-errata.tsv.
92	20	izafat-invented	پروردگار بزرگ وبلند	Parwardigaar-e-Buzurg-o-Buland	Parwardigaar Buzurg-o-Buland	medium	Urdu places بزرگ وبلند as apposition describing "پروردگار" ("Lord, Great and Exalted"), with no izafat marker between the two. Roman inserts "-e-" after Parwardigaar, turning it into a genitive ("the Greatness-and-Exaltedness of the Lord") rather than the appositive description Junagarhi wrote. "Buzurg-o-Buland" (and-compound) itself is fine.
96	13	vowel	منھ پھیرتا	munh phirta	munh pherta	high	Urdu پھیرتا (pherta, from پھیرنا "to turn away/avert" -- transitive) is rendered "phirta," which reads as پھرتا (phirna, "to wander/roam" -- intransitive), a different verb. The idiom "munh pherna" (to turn one's face away) is the intended sense here and is correctly spelled "pher" elsewhere in the corpus (e.g. surah 92:16 "munh pher liya").
